Rank,Title,Release,Runtime,Rated,Ratings
214,Rocky,1976,120,PG,8.1
215,Tokyo Story,1953,137,Not Rated,8.1
216,The Big Lebowski,1998,117,R,8.1
217,Spotlight,2015,129,R,8.1
218,The Seventh Seal,1957,96,Not Rated,8.1
219,Room,2015,118,R,8.1
220,The Terminator,1984,107,R,8.1
221,Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,PG-13,8.1
222,Hotel Rwanda,2004,121,PG-13,8.1
223,Platoon,1986,120,R,8.1
224,La haine,1995,98,Not Rated,8.1
225,Jai Bhim,2021,164,Approved,8.7
226,Before Sunset,2004,80,R,8.1
227,The Best Years of Our Lives,1946,170,Approved,8.1
228,The Passion of Joan of Arc,1928,114,Passed,8.1
229,The Exorcist,1973,122,R,8.1
230,The Wizard of Oz,1939,102,G,8.1
231,The Incredibles,2004,115,PG,8
232,Rush,2013,123,R,8.1
233,The Sound of Music,1965,172,G,8.1
234,Stand by Me,1986,89,R,8.1
235,Hachi: A Dog's Tale,2009,93,G,8.1
236,Network,1976,121,R,8.1
237,My Father and My Son,2005,112,Not Rated,8.2
238,The Handmaiden,2016,145,Not Rated,8.1
239,To Be or Not to Be,1942,99,Approved,8.1
240,The Iron Giant,1999,86,PG,8.1
241,The Battle of Algiers,1966,121,Not Rated,8.1
242,Into the Wild,2007,148,R,8.1
243,The Grapes of Wrath,1940,129,Approved,8.1
244,Groundhog Day,1993,101,PG,8
245,A Man Escaped,1956,101,Not Rated,8.2
246,Amores Perros,2000,154,R,8
247,The Help,2011,146,PG-13,8.1
248,Rebecca,1940,130,Approved,8.1
249,A Silent Voice: The Movie,2016,130,Not Rated,8.1
250,Andhadhun,2018,139,Not Rated,8.2
